ID,Haptic Group,Baseline File Count,Baseline Average Lift Rate,Baseline Average Max Forward Bend,Baseline Average Max Tilt Velocity,Baseline Average Twist Velocity,Baseline Average Safety Score,Intervention File Count,Intervention Average Lift Rate,Intervention Average Max Forward Bend,Intervention Average Max Tilt Velocity,Intervention Average Twist Velocity,Intervention Average Safety Score,Participation
A8R965235592,3 bends in 8 minutes,19.0,155.7,93.1,88.8,23.2,59.7,13.0,131.7,75.7,76.7,23.4,67.7,Participated in both
A8R948483372,2 bends in 5 minutes,7.0,153.8,97.6,76.1,24.5,62.7,2.0,142.3,90.4,88.3,24.9,60.2,Participated in both
A8R976577272,2 bends in 10 minutes,16.0,145.6,86.9,76.7,21.0,66.4,17.0,124.1,69.7,76.3,20.8,70.2,Participated in both
A8R948425406,2 bends in 5 minutes,1.0,145.2,83.3,73.7,21.6,68.1,,,,,,,Participated in baseline only
A8R971243592,2 bends in 5 minutes,9.0,145.1,105.0,86.1,23.2,58.6,16.0,131.4,104.0,89.9,23.7,58.1,Participated in both
A8R948482072,2 bends in 10 minutes,2.0,143.7,85.1,60.4,20.5,72.2,,,,,,,Participated in baseline only
A8R948435519,2 bends in 5 minutes,5.0,142.4,89.6,89.9,23.6,60.6,8.0,142.4,84.4,84.3,22.3,64.1,Participated in both
A8R948411102,2 bends in 10 minutes,20.0,140.8,84.5,82.7,24.4,63.4,23.0,125.7,69.2,76.1,24.6,68.4,Participated in both
A8R948437702,2 bends in 5 minutes,1.0,139.3,87.0,87.0,23.0,62.7,,,,,,,Participated in baseline only
A8R965018732,2 bends in 5 minutes,13.0,138.9,94.0,90.5,22.5,59.9,35.0,136.7,91.3,94.7,24.3,57.9,Participated in both
A8R951086468,2 bends in 5 minutes,9.0,138.1,96.2,67.0,21.1,68.2,9.0,118.7,77.3,69.6,21.3,71.1,Participated in both
A8R964130092,3 bends in 8 minutes,11.0,137.6,97.2,88.4,24.0,59.3,3.0,100.9,91.8,87.0,19.4,63.7,Participated in both
A8R963604022,3 bends in 8 minutes,25.0,137.3,98.1,85.5,20.0,62.2,32.0,112.2,88.7,84.7,18.9,65.4,Participated in both
A8R948441639,2 bends in 10 minutes,11.0,136.8,90.7,83.5,21.2,63.8,7.0,114.0,78.1,84.5,22.8,65.5,Participated in both
A8R952527505,2 bends in 5 minutes,17.0,135.8,106.7,90.4,21.2,58.4,25.0,120.7,97.8,100.9,21.1,57.3,Participated in both
A8R969411299,2 bends in 10 minutes,15.0,135.8,87.4,79.5,23.6,64.5,15.0,119.6,71.4,81.8,23.8,67.0,Participated in both
